Species,Location,Area,a11,a21,a32,a33,a43,a24,a44
Spotted,BlackPond,1,0,0,0.05,0.085,0.015,24.446,0
Spotted,BlackPond,2,0,0,0.533,0.36,0.166,34.657,0.5
Spotted,BlackPond,3,0,0,0,0.346,0.099,16.552,0.1
Spotted,BlackPond,4,0,0,0.222,0.525,0.175,11.632,0.8
Spotted,BlackPond,5,0,0,0.421,0.423,0.228,24.072,0.8
Spotted,BlackPond,6,0,0,0.077,0.385,0.165,12.099,0.9
Spotted,BlackPond,7,0,0,0.417,0.213,0.155,20.092,0.8
Spotted,BlackPond,8,0,0,0.15,0.315,0.097,34.738,0.8
Spotted,BlackPond,9,0,0,0.316,0.248,0.203,0.535,1
Spotted,BlackPond,10,NA,NA,NA,NA,NA,NA,NA
Spotted,McEnteer,1,0,0,0.05,0.015,0.035,22.226,0.1
Spotted,McEnteer,2,0,0,0.05,0.023,0.028,19.652,0
Spotted,McEnteer,3,0,0,0.15,0.03,0.07,0,0.05
Spotted,McEnteer,4,0,0,0,0,0,5.333,0.05
Spotted,McEnteer,5,0,0,0.1,0.01,0.04,3.244,0.05
Spotted,McEnteer,6,0,0,0,0.063,0.188,3.363,0.75
Spotted,McEnteer,7,0,0,0.05,0.195,0.105,7.247,0.2
Spotted,McEnteer,8,0,0,0.55,0.26,0.14,6.049,0.35
Spotted,McEnteer,9,0,0,0.15,0.02,0.08,6.874,0.15
Spotted,McEnteer,10,0,0,0.35,0.05,0.05,3.286,0.05
Spotted,Wehle,1,0,0,0,0.066,0.005,27.705,0
Spotted,Wehle,2,0,0,0,0,0,28.971,0.5
Spotted,Wehle,3,0,0,0,0,0,327.041,0.222
Spotted,Wehle,4,0,0,0,0.043,0.008,135.718,0.3
Spotted,Wehle,5,0,0,0,0.083,0.008,241.376,0.2
Spotted,Wehle,6,0,0,0,0.035,0.015,146.771,0.3
Spotted,Wehle,7,0,0,0.1,0.15,0,167.39,0.4
Spotted,Wehle,8,0,0,0,0.15,0,192.029,0
Spotted,Wehle,9,0,0,0,0.059,0,174.517,0.4
Spotted,Wehle,10,0,0,0.077,0.059,0.004,137.646,0.4
Meadow,FLNF,1,0,0,0.25,NA,NA,49.336,1
Meadow,FLNF,2,0,0,0.385,0,0,731.745,1
Meadow,FLNF,3,0,0,0,NA,NA,1282.871,1
Meadow,FLNF,4,0,0,0.1,0,0,64.526,1
Meadow,FLNF,5,0,0,0,0,0,3.007,1
Meadow,FLNF,6,0,0,0.105,NA,NA,11.833,0.889
Meadow,FLNF,7,0,0,0.429,NA,NA,84.97,1
Meadow,FLNF,8,0,0,0,NA,NA,32.849,1
Meadow,FLNF,9,0,0,0,NA,NA,93.124,0.857
Meadow,FLNF,10,0,0,0.077,0,0,376.683,1
Meadow,FortPlain,1,0,0,0,0.122,0.02,174.933,1
Meadow,FortPlain,2,0,0,0.25,0.188,0.063,125.873,1
Meadow,FortPlain,3,0,0,0.2,NA,NA,1319.695,1
Meadow,FortPlain,4,0,0,0.15,0,0,649.224,0.889
Meadow,FortPlain,5,0,0,0,0.4,0,124.838,1
Meadow,FortPlain,6,0,0,0,0,0,151.483,0.8
Meadow,FortPlain,7,0,0,0.05,0,0,20.661,1
Meadow,FortPlain,8,0,0,0,0.16,0.04,16.735,0.8
Meadow,FortPlain,9,0,0,0.1,NA,NA,1975.574,1
Meadow,FortPlain,10,0,0,0,NA,NA,68.083,0.9
Meadow,Jacobson,1,0,0,0.05,0.38,0.02,33.813,1
Meadow,Jacobson,2,0,0,0,0.049,0.018,2.685,0.9
Meadow,Jacobson,3,0,0,0.05,0.031,0.031,0,0.9
Meadow,Jacobson,4,0,0,0,0.1,0,0.137,1
Meadow,Jacobson,5,0,0,0,0.8,0,0.237,0.9
Meadow,Jacobson,6,0,0,0,0.33,0.039,0.449,1
Meadow,Jacobson,7,0,0,0,0.48,0.12,3.849,1
Meadow,Jacobson,8,0,0,0,0.063,0.063,4.211,1
Meadow,Jacobson,9,0,0,0,0.747,0.053,1.689,1
Meadow,Jacobson,10,0,0,0.053,0.264,0.099,25.817,1
Meadow,McLean,1,0,0,0.278,0.175,0.175,0.826,1
Meadow,McLean,2,0,0,0.3,0.333,0.167,4.992,0.8
Meadow,McLean,3,0,0,0,0.16,0.24,17.116,1
Meadow,McLean,4,0,0,0.158,0.244,0.177,57.826,1
Meadow,McLean,5,0,0,0.2,0.09,0.21,25.088,1
Meadow,McLean,6,0,0,0.045,0.021,0.038,68.062,0.9
Meadow,McLean,7,0,0,0.1,0.16,0.24,25.591,1
Meadow,McLean,8,0,0,0.05,0.148,0.074,60.688,1
Meadow,McLean,9,0,0,0.25,0.24,0.16,52.835,0.889
Meadow,McLean,10,0,0,0.35,0.16,0.24,68.778,0.9