Species,Location,Area,ss,g,ssj,sjv,sv,sf,mjf,mvf,f
Spotted,BlackPond,1,0.000,0.429,0.226,0.050,0.100,0.000,0.000,0.150,252.1
Spotted,BlackPond,2,0.000,0.310,0.250,0.533,0.526,0.500,0.000,0.316,447.8
Spotted,BlackPond,3,0.000,0.306,0.111,0.000,0.444,0.100,0.000,0.222,487.0
Spotted,BlackPond,4,0.000,0.382,0.174,0.222,0.700,0.800,0.000,0.250,174.9
Spotted,BlackPond,5,0.000,0.312,0.349,0.421,0.650,0.800,0.000,0.350,221.5
Spotted,BlackPond,6,0.000,0.135,0.305,0.077,0.550,0.900,0.000,0.300,293.1
Spotted,BlackPond,7,0.000,0.247,0.316,0.417,0.368,0.800,0.000,0.421,257.5
Spotted,BlackPond,8,0.000,0.641,0.076,0.150,0.412,0.800,0.000,0.235,715.2
Spotted,BlackPond,9,0.000,0.024,0.220,0.316,0.450,1.000,0.000,0.450,103.3
Spotted,BlackPond,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spotted,McEnteer,1,0.000,0.128,0.923,0.050,0.050,0.100,0.000,0.700,187.4
Spotted,McEnteer,2,0.000,0.096,0.739,0.050,0.050,0.000,0.000,0.550,275.9
Spotted,McEnteer,3,0.000,0.482,0.000,0.150,0.100,0.050,0.000,0.700,220.6
Spotted,McEnteer,4,0.000,0.103,0.263,0.000,0.000,0.050,0.000,0.400,197.1
Spotted,McEnteer,5,0.000,0.039,0.569,0.100,0.050,0.050,0.000,0.800,147.9
Spotted,McEnteer,6,0.000,0.051,0.636,0.000,0.250,0.750,0.000,0.750,102.8
Spotted,McEnteer,7,0.000,0.109,0.593,0.050,0.300,0.200,0.000,0.350,112.0
Spotted,McEnteer,8,0.000,0.340,0.250,0.550,0.400,0.350,0.000,0.350,71.1
Spotted,McEnteer,9,0.000,0.045,0.833,0.150,0.100,0.150,0.000,0.800,183.4
Spotted,McEnteer,10,0.000,0.051,0.545,0.350,0.100,0.050,0.000,0.500,117.2
Spotted,Wehle,1,0.000,0.208,0.300,0.000,0.071,0.000,0.000,0.071,443.3
Spotted,Wehle,2,0.000,0.906,0.286,0.000,0.000,0.500,0.000,0.000,111.9
Spotted,Wehle,3,0.000,0.750,1.000,0.000,0.000,0.222,0.000,0.091,436.1
Spotted,Wehle,4,0.000,0.698,0.615,0.000,0.050,0.300,0.000,0.150,316.0
Spotted,Wehle,5,0.000,0.802,0.625,0.000,0.091,0.200,0.000,0.091,481.5
Spotted,Wehle,6,0.000,1.000,0.300,0.000,0.050,0.300,0.000,0.300,489.2
Spotted,Wehle,7,0.000,0.719,0.241,0.100,0.150,0.400,0.000,0.000,964.8
Spotted,Wehle,8,0.000,0.896,0.400,0.000,0.150,0.000,0.000,0.000,535.9
Spotted,Wehle,9,0.000,0.677,0.500,0.000,0.059,0.400,0.000,0.000,515.5
Spotted,Wehle,10,0.000,0.521,0.583,0.077,0.063,0.400,0.000,0.063,453.1
Meadow,FLNF,1,0.000,0.042,0.304,0.250,NA,1.000,0.000,NA,3819.9
Meadow,FLNF,2,0.000,0.106,0.465,0.385,0.000,1.000,0.000,1.000,14809.6
Meadow,FLNF,3,0.000,0.133,0.442,0.000,NA,1.000,0.000,NA,21877.4
Meadow,FLNF,4,0.000,0.106,0.202,0.100,0.000,1.000,0.000,1.000,3013.8
Meadow,FLNF,5,0.000,0.042,0.527,0.000,0.000,1.000,0.000,0.800,134.2
Meadow,FLNF,6,0.000,0.048,0.367,0.105,NA,0.889,0.000,NA,674.1
Meadow,FLNF,7,0.000,0.064,0.329,0.429,NA,1.000,0.000,NA,4056.2
Meadow,FLNF,8,0.000,0.159,0.048,0.000,NA,1.000,0.000,NA,4330.5
Meadow,FLNF,9,0.000,0.096,0.129,0.000,NA,0.857,0.000,NA,7551.2
Meadow,FLNF,10,0.000,0.149,0.757,0.077,0.000,1.000,0.000,0.000,3346.0
Meadow,FortPlain,1,0.000,0.496,0.429,0.000,0.143,1.000,0.000,0.143,822.4
Meadow,FortPlain,2,0.000,0.381,0.223,0.250,0.250,1.000,0.000,0.250,1480.3
Meadow,FortPlain,3,0.000,0.574,0.333,0.200,NA,1.000,0.000,NA,6903.0
Meadow,FortPlain,4,0.000,0.410,0.492,0.150,0.000,0.889,0.000,0.500,3216.5
Meadow,FortPlain,5,0.000,0.524,0.360,0.000,0.400,1.000,0.000,0.000,662.5
Meadow,FortPlain,6,0.000,0.342,0.283,0.000,0.000,0.800,0.000,0.000,1567.7
Meadow,FortPlain,7,0.000,0.083,0.333,0.050,0.000,1.000,0.000,0.000,749.3
Meadow,FortPlain,8,0.000,0.557,0.028,0.000,0.200,0.800,0.000,0.200,1061.6
Meadow,FortPlain,9,0.000,0.529,0.750,0.100,NA,1.000,0.000,NA,4975.5
Meadow,FortPlain,10,0.000,0.204,0.252,0.000,NA,0.900,0.000,NA,1326.1
Meadow,Jacobson,1,0.000,0.620,0.388,0.050,0.400,1.000,0.000,0.050,140.5
Meadow,Jacobson,2,0.000,0.230,0.089,0.000,0.067,0.900,0.000,0.267,131.3
Meadow,Jacobson,3,0.000,0.342,0.000,0.050,0.063,0.900,0.000,0.500,181.8
Meadow,Jacobson,4,0.000,0.070,0.007,0.000,0.100,1.000,0.000,0.000,267.5
Meadow,Jacobson,5,0.000,0.027,0.046,0.000,0.800,0.900,0.000,0.000,193.2
Meadow,Jacobson,6,0.000,0.102,0.033,0.000,0.368,1.000,0.000,0.105,133.7
Meadow,Jacobson,7,0.000,0.059,0.194,0.000,0.600,1.000,0.000,0.200,336.8
Meadow,Jacobson,8,0.000,0.118,0.183,0.000,0.125,1.000,0.000,0.500,195.7
Meadow,Jacobson,9,0.000,0.064,0.216,0.000,0.800,1.000,0.000,0.067,121.6
Meadow,Jacobson,10,0.000,0.588,0.378,0.053,0.364,1.000,0.000,0.273,116.2
Meadow,McLean,1,0.000,0.021,0.529,0.278,0.350,1.000,0.000,0.500,74.5
Meadow,McLean,2,0.000,0.089,0.710,0.300,0.500,0.800,0.000,0.333,78.8
Meadow,McLean,3,0.000,0.173,0.638,0.000,0.400,1.000,0.000,0.600,155.0
Meadow,McLean,4,0.000,0.719,0.799,0.158,0.421,1.000,0.000,0.421,100.7
Meadow,McLean,5,0.000,0.524,0.570,0.200,0.300,1.000,0.000,0.700,84.0
Meadow,McLean,6,0.000,0.703,0.702,0.045,0.059,0.900,0.000,0.647,138.0
Meadow,McLean,7,0.000,0.435,0.699,0.100,0.400,1.000,0.000,0.600,84.1
Meadow,McLean,8,0.000,0.561,0.578,0.050,0.222,1.000,0.000,0.333,187.2
Meadow,McLean,9,0.000,0.692,0.540,0.250,0.400,0.889,0.000,0.400,141.2
Meadow,McLean,10,0.000,0.435,0.591,0.350,0.400,0.900,0.000,0.600,267.2